artists,titles,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters
Nosaj Thing,2K,0.31,0.445,-13.355,0.0863,0.094,0.0678,0.113,0.122,95.36,152560.0,1
The Doors,4 Billion Souls,0.419,0.565,-11.565,0.0347,0.137,0.337,0.128,0.648,151.277,197707.0,2
Radiohead,4 Minute Warning,0.354,0.302,-13.078,0.0326,0.59,0.0709,0.111,0.223,123.753,244285.0,1
Vitas,7 Element,0.727,0.785,-6.707,0.0603,0.325,0.126,0.31,0.96,129.649,249940.0,4
R.E.M.,#9 Dream,0.571,0.724,-5.967,0.026,0.0231,0.00311,0.0919,0.385,116.755,278320.0,6
a-ha,#9 Dream,0.579,0.777,-7.505,0.0304,0.0177,0.000248,0.422,0.481,109.994,247067.0,6
The Black Keys,10 Lovers,0.606,0.638,-6.994,0.0339,0.0434,0.000247,0.0887,0.817,97.992,213227.0,4
Julian Casablancas,11th Dimension,0.574,0.925,-2.766,0.0463,0.00164,0.0243,0.115,0.369,125.501,243333.0,6
The Strokes,12:51,0.452,0.889,-3.838,0.0379,0.312,0.8,0.558,0.591,145.056,153133.0,3
The Strokes,12:51,0.451,0.889,-3.838,0.0379,0.312,0.8,0.558,0.592,145.056,153133.0,3
The Beatles,12 Bar Original - Anthology 2 Version,0.6,0.535,-8.178,0.0298,0.00154,0.102,0.123,0.566,122.678,175080.0,6
The Strokes,15 Minutes,0.337,0.885,-3.566,0.0419,0.004,0.0378,0.141,0.389,83.001,273133.0,6
Radiohead,15 Step,0.6,0.853,-7.584,0.0423,0.0489,0.346,0.0934,0.847,94.457,237293.0,4
Perfume Genius,17,0.396,0.141,-16.115,0.0294,0.919,0.434,0.339,0.0443,68.03,150013.0,7
Half Moon Run,21 Gun Salute,0.594,0.61,-10.57,0.0388,0.829,0.208,0.077,0.289,129.963,292409.0,1
Ariane Moffatt,22h22,0.35,0.0959,-17.471,0.0439,0.964,0.0024,0.106,0.108,143.861,200907.0,7
Karkwa,28 Jours,0.15,0.237,-10.799,0.0323,0.778,0.0977,0.0897,0.0733,67.276,292120.0,1
Vinnie Who,39,0.733,0.719,-8.776,0.0462,0.0609,0.108,0.0807,0.327,114.959,309787.0,6
The Strokes,50/50,0.491,0.93,-6.412,0.0347,4.23e-05,0.612,0.219,0.623,99.924,163227.0,5
Radio Radio,50 Shades of Beige,0.703,0.7,-6.152,0.135,0.049,0.0,0.365,0.512,119.966,208248.0,0
The Strokes,80's Comedown Machine,0.488,0.503,-8.89,0.0326,0.00583,0.809,0.101,0.38,144.035,298613.0,5
Mac DeMarco,96.7 The Pipe,0.583,0.917,-8.96,0.567,0.493,0.0608,0.296,0.44,171.157,34014.0,0
Mac DeMarco,106.2 Breeze FM,0.487,0.753,-10.533,0.306,0.665,0.00144,0.231,0.847,112.907,60642.0,0
Jake Shimabukuro,143 (Kelly's song) 2011,0.37,0.361,-12.271,0.0321,0.81,0.87,0.113,0.479,66.409,266066.0,7
Lorde,400 Lux,0.512,0.474,-8.36,0.0371,0.0787,0.00345,0.134,0.194,183.991,234286.0,2
The Whitest Boy Alive,1517,0.784,0.539,-7.676,0.0406,0.317,0.377,0.0989,0.962,122.53,221227.0,4
Jean Leloup,1990 - Danse Mix,0.599,0.939,-5.714,0.0746,0.000555,0.0,0.0947,0.648,121.853,308427.0,4
Cage The Elephant,2024,0.243,0.984,-3.384,0.323,2.32e-05,0.00938,0.131,0.239,180.979,190333.0,2
Vampire Weekend,A-Punk,0.548,0.816,-4.478,0.0499,0.0104,0.0543,0.152,0.857,174.993,137760.0,4
John Williams,The Abduction,0.159,0.23,-15.441,0.033,0.672,0.848,0.0951,0.0632,84.933,145293.0,7
Cage The Elephant,Aberdeen,0.154,0.972,-3.626,0.111,0.000913,0.247,0.368,0.213,205.467,192920.0,2
The Whitest Boy Alive,Above You,0.725,0.774,-6.402,0.174,0.135,0.126,0.0844,0.72,78.976,194960.0,0
Sufjan Stevens,Abraham,0.365,0.0299,-20.546,0.0709,0.946,0.49,0.111,0.255,80.762,153693.0,7
The Beatles,Across The Universe - Take 2 / Anthology 2 Version,0.488,0.341,-11.907,0.0256,0.681,0.0,0.0844,0.463,79.377,212120.0,1
The Beatles,Across The Universe - World Wildlife Fund Version / Remastered 2009,0.461,0.575,-10.709,0.0538,0.517,0.0,0.138,0.549,82.634,229173.0,1
The Beatles,Across The Universe - Remastered 2009,0.257,0.412,-11.788,0.0287,0.361,8.68e-05,0.0702,0.858,152.126,228133.0,2
The Beatles,Across The Universe - Remastered 2009,0.252,0.395,-12.323,0.0283,0.405,0.000119,0.0635,0.84,154.06,229787.0,2
The Beatles,Act Naturally - Remastered 2009,0.702,0.447,-10.122,0.0308,0.366,0.0,0.153,0.944,93.02,150373.0,0
Lester Young,Ad Lib Blues,0.704,0.317,-13.127,0.0551,0.956,0.499,0.139,0.783,108.165,354333.0,1
Amy Winehouse,Addicted,0.786,0.846,-3.752,0.0391,0.00144,0.0172,0.101,0.695,107.976,165120.0,4
Alvvays,Adult Diversion,0.327,0.948,-4.355,0.0711,0.0355,0.515,0.126,0.469,177.328,207640.0,2
Patrick Watson,Adventures in Your Own Backyard,0.353,0.547,-9.793,0.0364,0.126,0.116,0.323,0.213,146.043,291440.0,2
Daft Punk,Aerodynamic,0.624,0.911,-7.482,0.0524,0.329,0.861,0.0727,0.135,122.902,212547.0,5
Hans Zimmer,Afraid of Time,0.251,0.00342,-38.794,0.0433,0.919,0.0255,0.117,0.0504,119.997,152673.0,7
Arcade Fire,Afterlife,0.638,0.873,-5.545,0.0363,0.0943,0.0395,0.226,0.682,115.95,352755.0,6
Sufjan Stevens,Ah Holy Jesus,0.161,0.176,-14.604,0.0446,0.986,0.000232,0.178,0.0808,67.503,161653.0,7
Sufjan Stevens,Ah Holy Jesus (a capella),0.16,0.17,-20.478,0.0376,0.994,0.763,0.0941,0.0399,134.526,59880.0,7
Sufjan Stevens,Ah Holy Jesus (with reed organ),0.296,0.164,-12.602,0.0348,0.959,0.0,0.201,0.253,85.346,88800.0,1
Cage The Elephant,Ain't No Rest For The Wicked,0.639,0.908,-5.575,0.138,0.0735,0.0,0.553,0.926,156.029,175467.0,3
