artists,titles,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clusters,id
Nosaj Thing,2K,33xMbeHzmWd6Od0BmLZEUs,0.31,0.445,-13.355,0.0863,0.094,0.0678,0.113,0.122,95.36,152560.0,1.0,33xMbeHzmWd6Od0BmLZEUs
The Doors,4 Billion Souls,3UnyplmZaq547hwsfOR5yy,0.419,0.565,-11.565,0.0347,0.137,0.337,0.128,0.648,151.277,197707.0,2.0,3UnyplmZaq547hwsfOR5yy
Radiohead,4 Minute Warning,1w8QCSDH4QobcQeT4uMKLm,0.354,0.302,-13.078,0.0326,0.59,0.0709,0.111,0.223,123.753,244285.0,1.0,1w8QCSDH4QobcQeT4uMKLm
Vitas,7 Element,7J9mBHG4J2eIfDAv5BehKA,0.727,0.785,-6.707,0.0603,0.325,0.126,0.31,0.96,129.649,249940.0,4.0,7J9mBHG4J2eIfDAv5BehKA
R.E.M.,#9 Dream,1VZedwJj1gyi88WFRhfThb,0.571,0.724,-5.967,0.026,0.0231,0.00311,0.0919,0.385,116.755,278320.0,6.0,1VZedwJj1gyi88WFRhfThb
a-ha,#9 Dream,3DSmOF7ETJHAQEqqgoSJao,0.579,0.777,-7.505,0.0304,0.0177,0.000248,0.422,0.481,109.994,247067.0,6.0,3DSmOF7ETJHAQEqqgoSJao
The Black Keys,10 Lovers,5HPnumlogzZtpLEaORZjz1,0.606,0.638,-6.994,0.0339,0.0434,0.000247,0.0887,0.817,97.992,213227.0,4.0,5HPnumlogzZtpLEaORZjz1
Julian Casablancas,11th Dimension,6i99ThziImjuFABb8rUQvy,0.574,0.925,-2.766,0.0463,0.00164,0.0243,0.115,0.369,125.501,243333.0,6.0,6i99ThziImjuFABb8rUQvy
The Strokes,12:51,0nkLI0pdyTRpq7BsTFBufZ,0.452,0.889,-3.838,0.0379,0.312,0.8,0.558,0.591,145.056,153133.0,3.0,0nkLI0pdyTRpq7BsTFBufZ
The Strokes,12:51,6Yu1OL8I0D4vjOzYdsXYGK,0.451,0.889,-3.838,0.0379,0.312,0.8,0.558,0.592,145.056,153133.0,3.0,6Yu1OL8I0D4vjOzYdsXYGK
The Beatles,12 Bar Original - Anthology 2 Version,2HvTGx5fzFGpHSyRNvXd9T,0.6,0.535,-8.178,0.0298,0.00154,0.102,0.123,0.566,122.678,175080.0,6.0,2HvTGx5fzFGpHSyRNvXd9T
The Strokes,15 Minutes,2XS4lIQ1bl9KSNsYtkqK46,0.337,0.885,-3.566,0.0419,0.004,0.0378,0.141,0.389,83.001,273133.0,6.0,2XS4lIQ1bl9KSNsYtkqK46
Radiohead,15 Step,6dsq7Nt5mIFzvm5kIYNORy,0.6,0.853,-7.584,0.0423,0.0489,0.346,0.0934,0.847,94.457,237293.0,4.0,6dsq7Nt5mIFzvm5kIYNORy
