,artists,titles,uri
0,Nosaj Thing,2K,33xMbeHzmWd6Od0BmLZEUs
1,The Doors,4 Billion Souls,3UnyplmZaq547hwsfOR5yy
2,Radiohead,4 Minute Warning,1w8QCSDH4QobcQeT4uMKLm
3,Vitas,7 Element,7J9mBHG4J2eIfDAv5BehKA
4,R.E.M.,#9 Dream,1VZedwJj1gyi88WFRhfThb
5,a-ha,#9 Dream,3DSmOF7ETJHAQEqqgoSJao
6,The Black Keys,10 Lovers,5HPnumlogzZtpLEaORZjz1
7,Julian Casablancas,11th Dimension,6i99ThziImjuFABb8rUQvy
8,The Strokes,12:51,0nkLI0pdyTRpq7BsTFBufZ
9,The Strokes,12:51,6Yu1OL8I0D4vjOzYdsXYGK
10,The Beatles,12 Bar Original - Anthology 2 Version,2HvTGx5fzFGpHSyRNvXd9T
11,The Strokes,15 Minutes,2XS4lIQ1bl9KSNsYtkqK46
12,Radiohead,15 Step,6dsq7Nt5mIFzvm5kIYNORy
13,Perfume Genius,17,1wKGGfnznnXIvupuEZt9mM
14,Half Moon Run,21 Gun Salute,7Jjqx75QRHaYsxF5WnHovC
15,Ariane Moffatt,22h22,7BIPYQPHbPVDE9UsA0eT72
16,Karkwa,28 Jours,4KEw5m7CZXVbpWbHVK4OrV
17,Vinnie Who,39,2YTRLoG5jdzCp4yg3B6OnH
18,The Strokes,50/50,5MPryR3oJGmWnSYM7X2GGE
19,Radio Radio,50 Shades of Beige,4ymUtICOpIlyvFf3URM7XZ
20,The Strokes,80's Comedown Machine,2lffRiAET2Xt6BNb4EmkS2
21,Mac DeMarco,96.7 The Pipe,3oQ52Mqz2ih8KjligVoQrG
22,,100 Amazing Bass Lines,785
23,Mac DeMarco,106.2 Breeze FM,5h8G81Ls00kyf1UEen0gBB
24,Jake Shimabukuro,143 (Kelly's song) 2011,6Tq4LginUMBOgZrUs8M40h
25,Lorde,400 Lux,7ynvnjTj1XI8ByUq3F8MUw
26,The Whitest Boy Alive,1517,4wHh4AljzbSGMJvynLgK1q
27,Jean Leloup,1990 - Danse Mix,2UFEbNhbk9GsxCigXPq3XI
